date	numbers	moneyball
Friday, December 14, 2012	[11, 28, 33, 41, 43]	41
Tuesday, December 11, 2012	[39, 44, 51, 52, 54]	13
Friday, December 7, 2012	[7, 43, 44, 51, 56]	04
Tuesday, December 4, 2012	[3, 19, 24, 32, 43]	44
Friday, November 30, 2012	[11, 22, 24, 28, 31]	46
Tuesday, November 27, 2012	[5, 12, 26, 42, 49]	24
Friday, November 23, 2012	[8, 37, 44, 47, 48]	27
Tuesday, November 20, 2012	[9, 13, 22, 38, 52]	44
Friday, November 16, 2012	[5, 24, 26, 29, 53]	36
Tuesday, November 13, 2012	[6, 12, 31, 46, 56]	34
Friday, November 9, 2012	[18, 22, 33, 35, 40]	11
Tuesday, November 6, 2012	[3, 5, 13, 32, 35]	06
Friday, November 2, 2012	[4, 18, 22, 38, 44]	24
Tuesday, October 30, 2012	[5, 12, 18, 29, 56]	38
Friday, October 26, 2012	[4, 15, 24, 36, 40]	44
Tuesday, October 23, 2012	[1, 17, 42, 46, 55]	01
Friday, October 19, 2012	[14, 34, 36, 48, 53]	42
Tuesday, October 16, 2012	[13, 37, 40, 46, 52]	29
Friday, October 12, 2012	[6, 10, 24, 26, 42]	15
Tuesday, October 9, 2012	[6, 15, 16, 22, 37]	03
Friday, October 5, 2012	[8, 9, 16, 32, 39]	15
Tuesday, October 2, 2012	[10, 11, 20, 42, 55]	09
Friday, September 28, 2012	[6, 8, 14, 43, 56]	28
Tuesday, September 25, 2012	[7, 8, 23, 50, 51]	26
Friday, September 21, 2012	[3, 13, 14, 46, 55]	34
Tuesday, September 18, 2012	[5, 9, 22, 36, 49]	36
Friday, September 14, 2012	[16, 17, 21, 40, 51]	20
Tuesday, September 11, 2012	[5, 11, 20, 33, 36]	11
Friday, September 7, 2012	[15, 32, 38, 42, 46]	31
Tuesday, September 4, 2012	[16, 32, 39, 41, 53]	16
Friday, August 31, 2012	[31, 40, 41, 47, 48]	45
Tuesday, August 28, 2012	[4, 9, 40, 45, 50]	39
Friday, August 24, 2012	[25, 34, 45, 46, 49]	34
Tuesday, August 21, 2012	[5, 13, 20, 23, 33]	30
Friday, August 17, 2012	[8, 20, 24, 35, 56]	24
Tuesday, August 14, 2012	[15, 23, 34, 39, 55]	32
Friday, August 10, 2012	[10, 18, 36, 38, 44]	08
Tuesday, August 7, 2012	[30, 32, 33, 42, 48]	07
Friday, August 3, 2012	[2, 10, 13, 38, 46]	02
Tuesday, July 31, 2012	[5, 18, 21, 29, 41]	37
Friday, July 27, 2012	[2, 3, 4, 8, 43]	26
Tuesday, July 24, 2012	[5, 9, 38, 46, 51]	05
Friday, July 20, 2012	[2, 44, 48, 50, 52]	03
Tuesday, July 17, 2012	[1, 13, 21, 49, 55]	17
Friday, July 13, 2012	[6, 7, 13, 24, 46]	34
Tuesday, July 10, 2012	[3, 11, 19, 23, 36]	21
Friday, July 6, 2012	[20, 23, 28, 35, 39]	21
Tuesday, July 3, 2012	[3, 4, 24, 36, 52]	45
Friday, June 29, 2012	[28, 34, 39, 45, 53]	34
Tuesday, June 26, 2012	[3, 16, 23, 35, 36]	20
Friday, June 22, 2012	[10, 16, 19, 32, 36]	13
Tuesday, June 19, 2012	[11, 21, 27, 30, 53]	11
Friday, June 15, 2012	[8, 12, 18, 30, 40]	04
Tuesday, June 12, 2012	[2, 9, 17, 34, 50]	45
Friday, June 8, 2012	[4, 9, 34, 40, 48]	25
Tuesday, June 5, 2012	[37, 39, 42, 53, 55]	22
Friday, June 1, 2012	[2, 27, 38, 46, 52]	45
Tuesday, May 29, 2012	[2, 14, 29, 53, 55]	31
Friday, May 25, 2012	[9, 15, 21, 40, 54]	11
Tuesday, May 22, 2012	[10, 14, 35, 43, 52]	16
Friday, May 18, 2012	[3, 11, 22, 34, 49]	01
Tuesday, May 15, 2012	[10, 11, 12, 14, 24]	06
Friday, May 11, 2012	[3, 15, 29, 35, 54]	08
Tuesday, May 8, 2012	[2, 6, 8, 18, 51]	19
Friday, May 4, 2012	[4, 11, 21, 42, 53]	38
Tuesday, May 1, 2012	[24, 27, 31, 45, 52]	38
Friday, April 27, 2012	[2, 5, 45, 46, 47]	37
Tuesday, April 24, 2012	[3, 9, 15, 37, 38]	39
Friday, April 20, 2012	[14, 23, 26, 33, 35]	40
Tuesday, April 17, 2012	[1, 16, 24, 32, 48]	02
Friday, April 13, 2012	[9, 14, 17, 36, 42]	33
Tuesday, April 10, 2012	[2, 6, 12, 31, 48]	25
Friday, April 6, 2012	[2, 19, 20, 24, 33]	39
Tuesday, April 3, 2012	[11, 35, 38, 41, 52]	40
